15.04.2023,30.299,6,30.472,6,30.586,5,30.208,8,31,71.000,-0,57
14.04.2023,30.472,5,30.387,4,30.964,9,30.026,0,98,38.000,0,28
13.04.2023,30.387,4,29.892,4,30.524,1,29.864,5,65,87.000,1,68
12.04.2023,29.886,4,30.209,8,30.473,0,29.679,5,78,69.000,-1,07
11.04.2023,30.209,6,29.641,0,30.484,6,29.597,8,89,38.000,1,92
10.04.2023,29.641,0,28.326,5,29.755,4,28.182,9,85,73.000,4,64
09.04.2023,28.326,6,27.941,2,28.522,7,27.809,2,39,35.000,1,38
08.04.2023,27.941,2,27.910,4,28.153,1,27.863,8,23,73.000,0,11
07.04.2023,27.910,4,28.037,6,28.102,5,27.779,4,30,94.000,-0,45
06.04.2023,28.036,7,28.173,5,28.173,5,27.734,5,51,29.000,-0,49
05.04.2023,28.173,5,28.164,4,28.744,4,27.823,5,77,32.000,0,03
04.04.2023,28.164,4,27.802,2,28.429,1,27.668,9,64,06.000,1,30
03.04.2023,27.802,1,28.194,7,28.458,4,27.256,9,98,00.000,-1,41
02.04.2023,28.198,3,28.456,1,28.522,8,27.871,7,45,04.000,-0,91
01.04.2023,28.456,1,28.473,7,28.795,1,28.285,6,38,09.000,-0,06
31.03.2023,28.473,7,28.029,3,28.646,3,27.587,5,98,44.000,1,58
30.03.2023,28.029,5,28.350,3,29.160,4,27.716,7,122,51.000,-1,13
29.03.2023,28.350,4,27.262,9,28.627,4,27.249,8,109,32.000,3,99
28.03.2023,27.262,2,27.127,8,27.465,0,26.665,6,94,16.000,0,49
27.03.2023,27.129,8,27.974,8,28.023,3,26.611,5,107,24.000,-3,02
26.03.2023,27.973,5,27.474,9,28.153,7,27.429,1,60,64.000,1,81
25.03.2023,27.475,6,27.462,2,27.761,9,27.176,7,61,36.000,0,05
24.03.2023,27.462,2,28.306,9,28.374,5,27.026,5,110,36.000,-3,00
23.03.2023,28.310,7,27.262,8,28.734,1,27.144,6,158,46.000,3,85
22.03.2023,27.261,7,28.114,2,28.760,3,26.668,7,262,03.000,-3,03
21.03.2023,28.114,0,27.719,8,28.437,8,27.350,6,438,78.000,1,42
20.03.2023,27.720,5,27.958,9,28.457,8,27.157,0,503,90.000,-0,85
19.03.2023,27.958,7,26.914,5,28.347,3,26.844,6,393,27.000,3,88
18.03.2023,26.914,5,27.391,9,27.659,1,26.688,7,392,47.000,-1,74
17.03.2023,27.391,8,25.004,4,27.742,2,24.900,1,674,96.000,9,55
16.03.2023,25.004,1,24.283,2,25.139,0,24.147,9,462,58.000,2,97
